person_pdbId,name,bio,region
792,ARDESIR BOMANJI SETNA,"B.A., LL.B., Pleader, is a prominent social worker, leading pleader of the Poona Courts, and one of the leaders of the Parsi community, playing an important part in the social and communal activities in Poona. He is the Trustee of several well-known The Hon ble Sir Phiroze Cursetjee Sethna, Kt., B.A., Trusts and has done a great deal for promotion Member, Council of State, of education. He is a Delegate of the Parsi Bombay. Matrimonial Court at Poona, and an elected member of the Poona Cantonment Board, in which capacity he is doing very useful work. Mr. Setna is a great sportsman, having carried away several prizes in Tennis, Badminton and Billiards. He is the President of Sir Dinshaw Manekji Petit Parsi Gymkhana, Poona. He is one of the Trustees of the Shenshai and Kadmi Daremcher (Fire Temple) of Poona, and Hony. Treasurer of the Mahableshwar Parsi Cemetery. He has been connected with the Camp Education Society, Poona, for 20 years and had been its Chairman for several years. He is in charge of Primary Gujarati School for poor Parsi students. He is President and Chairman of the H. Vincent's High Ardesir Bomanji Setna, B.A., LL.B., School Old Boys' Association. Pleader, Poona.",BOMBAY & SIND.
793,SETH DOLATRAM UMEDRAM SHAH,"B.A., LL.B., Pleader, Ahmedabad, was born in 1875. He is actively asso- ciated with many public-spirit- ed activities. He has been Member, Ahmedabad Munici- pal Corporation, since 1917 and was elected its President in 1928. He has generously donated to every deserving.",BOMBAY & SIND.
794,MAULANA SHAUKAT ALI,"M.L.A., Khilafat House, Love Lane, Bombay. Born 1873. Educated at M. A. O. College, Aligarh. Served in Government Opium Department for 17 years. Secretary and Organiser, Aligarh Old Boys' Association; Trustee, M. A. O. College organised collection of funds for Aligarh University. Interned during the War. Prominent leader of Khilafat and Non-co-operation movements, 1919-20. Secretary, Central Khilafat Committee. Founder and Manekhlal Chunilal Shah, Mahajan Association Hall. Secretary of Khuddam-i-Ka'aba Society. Appointed Patwachawl, Bombay. Member, Round Table Conference, to represent (Biography not received.) Muslims. Travelled in Egypt, Palestine, Syria, Iraq, Yamen and Hejaz and helped in organising the World Muslim Conference. Invited to America to deliver lectures about India and Islam in 1933.",BOMBAY & SIND.
795,SUBEDAR-MAJOR SITARAM LAXMAN SHELLAR,"Sardar Bahadur, O.B.I., M.C., 5th Royal Marathas (retd.), Village Sangve, Tal. Sangmeswar, Post Deorukh, District Ratnagiri, Bombay Presidency. Born 1881. Well-versed in Mara- thi and English. Joined 17th Bombay Infantry at Poona 1900, granted commission as Jamadar 1913, as Subedar 1915, and as Subedar-Major 1922. The 17th Bombay Infantry, later renamed 117th Marathas, again renamed 117 the Royal Maratha Special Indianisation, now continues under the name of 5th Royal Battallion 5th Maratha Light Infantry. Proceeded to Mesopotamia with the Battalion 6th Poona Division on the outbreak of war with Turkey. Was one of the first Indian officers to gain the Military Cross for gallantry and devotion to duty at Shaiba on the 14th April, 1915, when, though wounded early in the action, he continued to lead his company with conspicuous coolness, even in the final assault. He had also acted with gallantry on a previous occasion. (Extract from the "" Gazette of India,"" No. 5570 of 1915). Was mentioned in a Despatch from Lieut.-General Sir A.A. Barret, K.G.B., K.C.V.O., dated 31st March, 1915, for gallant and distinguished services in the field ""I have it in command from the King to record His Majesty's high appreciation of the services rendered."" Was one of the defenders of Kut-ul-Amara until Subedar-Major Sitaram Laxman Shellar, Sardar Bahadur, that place, after a siege of 5 months, was obliged to O.B.I., M.C., village Sangve, District Ratnagiri. surrender through lack of food. 196 Awarded Jangi Inam for distinguished service during the Great War. Bushire Field Force, 1919-20. Received O.B.I. First Class with title of Sardar Bahadur, January 2nd, 1927. Received Star 1914-15; British War Medal, Victory Medal, and Silver Jubilee Medal, May, 1935. Owns 175 acres of land. Has one son and 5 daughters.",BOMBAY & SIND.
796,KHAN SAHIB SYED SHER SHAH,"Landlord, President, Taluka Board, Goth Sher Shah, Taluka Jamesabad, District Thar-Parkar, Sind. Born 1869. Also President, Agricul- tural Development Association, Jamesabad. Performs also the duties of Police Patel. Ancestral home Waryamal, Tehsil Chakwal, District Jhelum. Pays Rs. 1,500 per annum as land revenue. Is Life Member of Red Cross Society and pays Rs. 100 per annum as subscription to said Society. Has given 32 acres of land to Blind Relief Association. Has been Honorary Magistrate 2nd Class for ten years. Granted 3 Afrin-namas with lungis by Collector, Thar-Parkar District, for loyal assistance in purchase of camels during the Great War; one Afrin-nama by Collector with Recruiting Medal for good recruiting work, and a Sanad by H. E. the Viceroy in recognition of services rendered to the Indian Army during the War. Awarded 2 Afrin-namas with lungis by Collector for helping the Agricultural Department; one Afrin-nama by Commissioner in Sind for supplying food and medicine to the poor during the influenza epidemic; an Afrin-nama with Sword of Honour by H.E. the Governor, Bombay, for services in connection with influenza and other epidemics; an Afrin-nama with a lungi by Commissioner in Sind for opposing Non-co-operation movement; and an Afrin-nama with a watch K. S. Syed Sher Shah, by H. E. the Governor, Bombay, for assisting Government generally, Landlord, Jamesabad, Sind. particularly in the Agricultural Department. Subscribed according to means to Silver Jubilee Fund. Has four sons: Noor Shah, Gul Hussan Shah, Ahmed Ali Shah and Mohammad Ali Shah.",BOMBAY & SIND.
797,K R. P. SHROFF,"J.P., President of the Native Share and Stock Brokers' Association of Bombay and the senior partner in the old established firm of Messrs. R. P. Shroff & Sons, one of the best known and leading Share, Stock, Finance and Exchange Brokers of that city, was born in Bombay on the 28th July, 1878. He was educated at the Bharda New High School. He was one of the first batch of the students for commercial education to pass out of the Byramjee Jeejeebhoy College of Commerce with distinction in Commercial Arithmetic, Accountancy and Machinery of Business Examinations of the London Chamber of Commerce in 1902. He has published works on Arith- metic and Higher Algebra and is an expert in Mathematics. He began his career at the age of 22 as a teacher and conducted classes for Matriculation and Previous Examinations in Mathema- tics and Science. In 1903 he joined the Stock Exchange business, which was founded by his father in 1890, and by sheer intelligence and industry and with the help of his brother brought it to a flourish- ing position. He has been a Director of the Bombay Stock Exchange since 1920 and its Trustee since 1924. He was Honorary Secretary and Treasurer in 1921 and 1922. In 1923 he was elected as its Presi- dent, an office which he is still holding with marked abilities and success. He is working hard and loyally in the best interests of the Exchange and the investing public. He was nominated a Justice of the Peace in 1927. He has also been Vice-President of the Bombay Shareholders' Association since its formation in 1929 and a Vice-Chairman of the Zoroastrian K.R.P. Shroff, J. P., President, Native Share and Stock Brokers' Co-operative Credit Bank, Limited, and a Director of the Union Association, Bombay. Bank of India, Ltd., and also of the Bombay Central Co-operative Land Mortgage Bank, Limited and of Indian Mercantile Insurance Co., Ltd. He was one of the recipients of the Silve Jubilee Medal on the occasion of His Majesty's Silver Jubilee. He is popular with all classes of people.",BOMBAY & SIND.
798,RAO SAHIB GURUSHIDDAPPA ADIVEPPA SHETTER,"Pro- prietor, Ginning Factory, Sudi, Taluka-Ron, District Dharwar. Born 1895. Is Chairman, Sudi Co-operative Society, since 12 years; Director, Central Bank, Ron, since 5 years. Was Member, Taluka Local Board, 3 years President, Taluka Development Associa- tion, 6 years; Managing Director, Cotton Sale Society, 6 years. Invested in War Loans. Donated Rs. 1,000 towards Red Cross Fund Rs. 5,000 for building Lingaraj College, Belgaum besides, contributed and collected funds for Finance Association, Dharwar. During Civil Disobedience did good work as Chairman, Loyalty League, Ron. In recognition of manifold public services made Rao Sahib in 1925. Has two daughters.",BOMBAY & SIND.
799,KAMBHAVI BHIMRAO SHRINIVASRAO,"B.A., LL.B., of Bijapur. Rao Sahib Gurushiddappa Adiveppa Shetter, Proprietor, Born 17th May, 1881. Served as Second and First Class Sub- Ginning Factory, Sudi, ordinate Judge, Bombay, Maharashtra and Karnatak. Awarded Taluka-Ron, District Dharwar. Silver Jubilee Medal, 1935. Owns landed property in Bijapur District in Bombay Presidency. Has three sons and three daughters. Address -Tasbavadi Peth, Bijapur.",BOMBAY & SIND.
800,P. J. SHROFF,"Share and Stock Broker, 43, Apollo St., Fort, Bombay. Born 1904 in a respectable family. Is a leading Member, Indian Merchants' Chamber, elected Member, Ville- Parle-Andheri Municipality and was instrumental in getting the electric rates reduced for street lighting and private consumers by the Bombay Suburban Electric Supply Co., Ltd.",BOMBAY & SIND.
801,PRABHASHANKER K. SHUKLA,"Bombay, was born in 1896. He is a great social reformer and is noted for his munificence, genial temperament and honesty of purpose. He P.J. Shroff, Share and Stock joined the Pedhi of Seth Ganeshlal Subhag- Broker, 43, Apollo St., Fort, mal, Bombay, soon after Matriculation and Bombay. after valuable services for over 18 years is now acting as Munim of this firm. He was specially sent to tour the whole Continent of Europe where he spent 15 months to study foreign business methods. He is also Director of the Mar- wadi Merchants' Chamber of Cammerce, Ltd., Bombay, and Vice-President, Committee, Bullion Exchange Ltd., Bombay, and is greatly esteemed.",BOMBAY & SIND.
802,SIR OSBORNE ARKELL SMITH,"KT., K.C.S.I., K.C.I.E., lately Governor of Reserve Bank of India, Bombay. Born 26th December, 1877. Educated at Sydney Grammar School. Started banking career in Australia in the Bank of New South Wales, and after several years in that institution joined the Commonwealth Bank of Australia as Manager of the Canberra Branch in 1913. Was Prabhashanker K. Shukla, Bombay. transferred to London as Manager of the Bank in 1923. Served as Managing Governor of the Imperial Bank of India, 1926-34, and was appointed First Governor of the Reserve Bank of India in January, 1935, which post he resigned in October, 1936.",BOMBAY & SIND.
803,JEHANGIR HORMUSJEE SORABJEE,"J.P., Honorary Presi- dency Magistrate, Bombay, is the son of late Mr. Hormusjee Sorabjee, J.P., well known in business circles in Bombay. He joined his father's business in 1898, at Poona, Nasik, and Bombay as Abkari, Opium and Railway Contractors, and dealers in motor cars, carriages, horses and furniture. During the visit of His Majesty the King of Afghanistan in Bombay, 1908, he and his father were officially entrusted with the entire management of the tour, which work they carried Jehangir Hormusjee Sorabjee, out with great credit. As an Honorary Magistrate his services in times J.P., Bombay. of riots have been noteworthy and his decisions sound.",BOMBAY & SIND.
804,THE LATE DR. NUSSERWANJI FAKIRJI SURVEYOR,"M.A., B.SC., M.D., D.PH., M.R.C.P., F.C.P.S., was born in the year 1863. It would be difficult to choose a name, especially in India, which could more appropriately and more prominently be associated with a practical effort to advance the science of medicine by means of experiment and expert observation than that of Dr. Surveyor, who was considered to be the best physician of his time. He had a brilliant educational career. He graduated in the year 1885 from the Elphinstone College with distinction. He passed the B.Sc. Exa- mination in 1887 in the first division and obtained the degree of Master of Arts in 1889, carrying away the most coveted distinction of Chancellor's Medal. He passed his L.M. & S. Examination in 1890, having stood in the first class. He passed the M. D. Exami- nation in the year 1892. After taking his L.M. & S. degree he was appoin- ted Demonstrator in Physiology in the Grant Medical College under Col. C. H. L. Meyer. After taking his M. he proceeded to England, where he became M.R.C.P. (London) and D.P.H. (Cambridge), and pro- secuted higher studies in Bacteriology, which became ultimately his speciality and the basis of his renown. In England, in collaboration with another medical practitioner, he wrote some learned papers in Bacteri- ology which were published by the Royal Society of London. In 1896 he was the first man in Bombay to have declared the eruption of plague, and he subsequently worked under Professor Hoffkine in plague research work. He laboured most strenuously, subsisting on a The late Dr. Nusserwanji Fakirji Surveyor, M.A B.Sc., M.D., single cup of cocoa during a whole day. Such hard D.Ph., M.R.C.P., F.C.P.S., Bombay. work to the exclusion of rest, the scorning of delights and leading of laborious days completely shattered his health, and for a full year he had to retire from professional work. On the establishment of a Professorship of Bacteriology at the Grant Medical College he was appointed the first Indian Professor in that subject, and the Bacteriological Laboratory was equipped by him. This post he resigned some time in 1915 on the tenure of office being changed by Government. He acted as a Professor of Materia Medica, Grant Medical College, and was also appointed as Second Physician, Sir J. J. Hospital, which post he enjoyed till his death. This post was hitherto reserved only for I.M.S. officers, being the first Indian to be appointed to this post. He also once acted as the First Physician to the J. J. Hospital. He was Government nominee on the Committee of the Tata Research Institute at Bangalore, for more than ten years a Syndic in Medicine, also once Dean in the Bombay Univer- sity and Secretary to the Bombay Medico-Physical Society. Dr. Surveyor's prominent personal characteristics were an overwhelming sense of duty, love for truth, honesty of purpose and thoroughness in carrying out any work he undertook. As the result of these remarkable characteristics, he won the esteem and regard of the entire medical profession and became a very popular physician in Bombay. In spite of his busy life as a medical practitioner, the late Dr. Surveyor found time to carry on research work on a laborious scale. Owing to his magnetic personality he always made a deep and lasting impression on those who had the privilege of knowing him and he produced remarkable influence on the minds of his pupils and contemporaries, Spartan simplicity, earnestness of soul, precision and promptitude of action, and unvarnished, straightforward speech, marked him in all phases of his life, whether in the onerous discharge of his professional duties, in the wise Councils of the Senate, or in the quietude of his unostentatious home. 199 Not to mention here his deep filial respect, unrestrained love, and passionate devotedness and obedience to his father, would be to applaud him for the least of his good qualities and to ignore his pre-eminent characteristics, to sketch the outline of his picture and not paint it in those hues that constitute its true beauty and charm, to rob his crown of glory of its most resplendent gems. In private life and specially in the midst of his family circles, he was always genial, happy and full of humour. He kept very much to himself, his home and a small circle of his intimate friends and took almost no part in the social life of Bombay. He had a sense of personal and professional dignity which made him absolutely incapable of self-advertising of any kind. He never entered the profession with the intention of making money at any cost. Relieving the distress and suffering of the poor was the main object of his life and there have been instances in which coins he not only refused to take a single farthing from a poor suffering patient but paid a few out of his own purse to them to enable them to buy medicine or articles of nourishment. In him were gentility and innocence SO admirably mixed with the fire of an emotional temperament that his friends were not slow to perceive in him somewhat of the well-balanced turbulence of the restless ocean, now stormy and agitated under the rousing influence of tempestuous blast, then serenely calm, the Spirit of Peace resting upon its glassy bosom, like some unto a have glad conqueror over the scene of recent conflict, forgetful of the past, howsoever rough it may been, and possessed in goodly measure with that chief attribute of nobility-Forgiveness. ism was tender superficial and of a genial quality; in reality he had a noble nature coupled with a loving Dr. Surveyor occasionally exhibited a somewhat cold and cynical manner, but his cynic- and revealed disposition which overflowed with kindness and sympathy. These qualities often times in his attitude towards his patients and his emotional anxiety on their behalf were freely extremely and distressing and painful to witness. At the same time he could speak was his some- mind tient a man of all conviction and hated anything that approached cant or humbug and was was of say hard things on certain questions on which he held strong personal views. He strictly honourable always open to correction. He was absolutely free from petty spite or and feelings was and was affectations and pretences. He did not, however, intentionally hurt anybody's always impa- interest in and straightforward in his dealings. Though Dr. Surveyor took envy of the ordinary Fellow of Bombay University for many years and was on the Board Bombay Senate. He was the public life, he evinced a great deal of interest in the activities of the very little a resolution same body. He wielded considerable influence and respect in the Senate and on of his Studies death was passed putting on record his useful services rendered to that body. maintained career. It was energy most unfortunate and activity of a young man of 20. His was an intensely active span of life he At the his death he was hardly 57 years of age, but throughout this short January, 1921. Thus that such a useful life was cut off after a brief illness and useful remarkable and amiable passed away in his 57th year and in the prime of life on 19th was mourned personalities that adorned the medical profession of one of the most by large number of friends and members of the medical profession and hundreds of his was attended a almost deeply all the eminent by all classes of people, irrespective of race or creed. His Bombay. funeral His death admirers. Though Dr. Surveyor is pupils and him a name which the profession will be will never forget. His writings on no medical more yet and he scientific has left behind death he permanent reminder of his great personality and worth. subjects completed must his have surely felt conscious that he had done his duty At and his task in this world.",BOMBAY & SIND.
805,Dr. J. ALBAN DE SOUZA,"B.A., L.M. S., Captain, Council, worker. He is elected Member, Bombay Legislative a promi- nent social is a leading member of Catholic Mission and I.M.S., J.P., Medical Standing Committee, since 1935 and Member, Faculty of Chairman, Grant since 1926; Municipal Councillor since 1929; the Indian and gave evidence before the Central Committee Franchise of Committee, College, since 1913. He was a Member, Provincial Arts, Dr. J. Alban De Souza, B.A., lance since Christian community is associated with the St. John's on behalf Ambulance.",BOMBAY & SIND.
806,DR. JACOB EZEKIEL SOLOMON,"L. M. & S., Kaiser-i-Hind (Silver), Medical Practi- tioner, Beth-El,"" Manipur, Ahmedabad. Born 8th September, 1884, at Poona. Served as Assistant Surgeon, B.M.S.; Teacher, B. J. Medical School, Hyderabad, Sind, and Ahmedabad Acting Civil Surgeon, Health Officer and Superintendent, Jail, Basra, 1916. Resigned Government Service, 1920. Has been a nominated member of the Ahmedabad Municipality and Ahmedabad District Local Board for several years; Chairman, Sanitary Com- mittee, twice and Chairman, Special Committees, viz., Punch Privy Committee and Air and Space Committee. Is Honorary Divisional Secretary for Gujarat, Bombay Presidency, Baby and Health Week Asso- ciation; Honorary Secretary, Sanitary Association, Ahmedabad, which was revived by him in 1919. Organised Sanitary Rounds; organised Sanitary Museum 1928 organised magic lantern and cinema shows on Health and Child Welfare, and also Health Exhibitions and Baby Weeks in Ahmedabad as well as in Gujarat, co-operating with the Government Village Uplift movement. He and Col. Sir Nanavatty gave evidence before the Royal Commission on Labour on behalf of the Sanitary Asso- ciation. Takes prominent part in looking after the Welfare Centre of the Red Cross Society in Ahmedabad. Is a veritable missionary worker in health and sanitation. Is President of the Theosophical Lodge; Presi- dent, Ahmedabad Medical Society, 1934-36; Chairman, Ahmedabad District Board Medical Committee; Treasurer, Released Prisoners' Aid Dr. Jacob Ezekiel Solomon, L. M. & S., Ahmedabad. Society; Member of the Managing Committee of the S. P. C. A. Child Protection Society (Probation Officer) and of the Ahmedabad District Branch of the Red Cross Society. Was one of the two non-officials to receive Silver Jubilee Medal in the Ahmedabad City. Dr. and Mrs. Solomon took a prominent part in starting International Co-Freemasonic Movement in Ahmedabad. Belongs to Besant school of politics and firmly believes in India's connection with Britain for future development of both and thinks that lasting peace will be secured only by British Parlia- ment passing an Indian Reforms Act framed by Indians themselves. Dr. Solomon has charm in speech and manners and has extended the circle of his enthu- siastic appreciators with every passing year since he resigned Government service.",BOMBAY & SIND.
807,LATE MR. MANCHERJI SHAPURJI TATA,"a well-known Abkari Contractor, a Merchant, a Trustee of the Billimora Parsi Panchayat, and a great philanthropist, was born on 7th August, 1842, at Billimora. He was a self-made man. He started life by doing Abkari business on a very small scale. In 1885 he was given Abkari monopoly in the Baroda State, which lasted for nearly 30 years, and from 1910, in partnership with his brother, late Mr. Ratanji, and others, he took the distilling contract of the same State. In 1903 late Mr. Mancherji also took the Abkari contract of the Dharampur State in partnership with his brother, which business also was carried on with great success and profit for several years. Over and above this Abkari business, late Mr. Mancherji also dealt with several other business lines. In 1902 he started the Firm of Messrs. Mancherji and Ratanji Tata and Co. Branches of this firm were also opened in Calcutta, Madras and other important business towns. Owing to his in he purpose, high code of business morality and honesty of he succeeded everything undertook. He believed in living a very simple life. At the time of his death, late Mr. Mancherji was nearly seventy years of age, but it must be said to his great credit that, in spite of his old age, he led a very active life and every one was struck with his working capacity at that age. Late Mr. Mancherji Shapurji Tata. Late Mr. Mancherji had a soft corner in his heart for those money in charity privately and publicly. Seeing that the education of the children of his both who were unfortunately placed in life. He gave away large sums of town was being neglected since there were no schools, he built, to help them in afterlife, two schools-Tata High School for Boys and Tata Girls' School. He also built ""Tata Bag for the use of the Parsi community of Billimora. His death on 22nd July, 1916, was widely mourned.",BOMBAY & SIND.
808,SHETH MANSUKHLAL SUKHLAL TARWALA,"a leading commercial magnate of Bombay. In the year 1970 he joined the firm of his elder brother, Sheth Chhotalal Sukhlal, which then carried on business of cotton and that of Telegraph Despatching. He soon made his mark in the line and in a short time he succeeded in establishing an indepen- dent firm of cotton business as a natural sequence to his strenuous, hard and wise handling of business. His progressive and all-round business aptitude, com- bined with perseverance, hard work, tact and wisdom, soon enabled him to widen his scope of business, and his interest in various local markets such as cotton, bullion, grain, seeds, sharafi, share and stock has brought him in intimate association, as a member, with the follow- ing local commercial associations : The Bombay Cotton Brokers' Associa- tion, the East India Cotton Association, the Native Share and Stock Brokers' Association, the Bombay Bullion Ex- change Ltd., the Bombay Shroff Asso- ciation, the Grain and Seeds Brokers' Association, and the Seeds Traders' Association. He possesses all the essential quali- ties of a real businessman-intellect perseverance, tact, sound judgment and scrupulous honesty. But commercial pre-occupations and material prosperity have not killed the innate spirituality of Sheth Mansukhlal Sukhlal Tarwala, Bombay the man. Sheth Sahib lives a simple and religious life. He readily avails himself of any opportunity that presents itself of serving mankind and pandering to his own spiritual hankerings. In commemoration of his father he has built a Jain Pathshala and in memory of his mother he has built a Burning Place in the service of mankind. In 1920, in company with his family and relatives, he undertook the pilgri- mage of Shikharji. He follows in the footsteps of his forefathers in serving his native place, the State of Chuda in Kathiawar, even at the cost of time and money, Seth Sahib is of an intensely charitable dis- position and has a warm corner in his heart for the poor, for whom his purse is always open. He is held in the highest esteem by all classes of people for his high character, chari- Sri Jain Marble Temple Pawapuri. table disposition, intense piety, scrupulous honesty, polished manners, simple habits and honour- able dealings with all.",BOMBAY & SIND.
809,IVON HOPE TAUNTON,"B.A. (Cantab), I.C.S., Municipal Commis- office. Assistant On military duty, 1917-19. Rejoined service (Civil) Collector, Karachi (Sind), attached to the Commissioner's duty as Thar-Parkar as Collector, 1919 officiating Collector and District at Hyderabad man of and other stations, 1920-25; was put on Magistrate at tor and the Cattle Theft Committee in Sind, 1925-26; special officiated duty as Chair- tary Government, to Home and Ecclesiastical Departments, 1926, and Secretary to Superintendent of Stamps, Karachi, 1926; Deputy as Collec- Khairpur Council, 1927; appointed Finance and Revenue to the Legislative Government Finance Department, 1926-27 nominated Deputy twice Secre- District State Executive Council, 1927-32; officiated as Collector Member, bay Municipality, 1934.",BOMBAY & SIND.
810,SITARAM RAMJI TAWDE,"M.A., T.ED., Principal, Training College for Men, Poona. and joined one of the High Schools in Bombay as a teacher. Went to America Bombay, in 1920 1895. Passed his B.A. with Honours in 1918 from St. Xavier's College, from Teachers' College and took his Diploma as Teacher of Education same year. After an for higher studies, joining Columbia University, New York. Passed his M.A. in 1922 extensive educational tour in England and on the Continent returned in 1923 and appointed Lecturer in History and Methods at the Secondary Teachers' College, Bombay, and later on Deputy Educational Inspector at Ratnagiri in 1924. Was Educational Administrative Officer, Satara, till 1927. Joined the Training College for Men, Poona, as Principal, 1927. Is the moving spirit of many educational activities in Poona. Started a Children's Day which is being celebrated every year for the last seven years in Western India. The Moving Club of Head Masters which is doing splendid work in Poona was founded by him. Started an all-Presi- dency Geographical Conference, which has now developed into a permanent organisation, known as Bombay Presidency Geographical Association. There is not space enough to mention his various other educational activities of great importance. Through his numerous Primary Teachers, Sitaram Ramji Tawde, M.A., who are turned out every year from his College, he is spreading his gospel Ed., Principal, Training College for Men, Poona. of new educational ideas to the distant corners of Marathi-speaking districts. Elected Fellow of Bombay University Senate for four years. Prominently associated with numerous educational and literary associations. Author of several works of outstanding merit, his recent publication being Utsahi Shikshakache Karya Chhetra"" or The Scope of Work of an Enthusiastic Teacher,"" well received by the teaching world. Has been Editor of a well- known educational magazine, Prathamik Shikshan "" or ""Primary Education,"" for over eight years. In appreciation of educational services given a Selection Grade in the Bombay Edu- cational Service. Also awarded Silver Jubilee Medal. Married to Miss Shanta Jadhav, the daughter of Mr. Bhaskarrao Jadhav, M.A., LL.B., EX-M.L.A., and leader of the non-Brahmin party. Has four children,-one son and three daughters.",BOMBAY & SIND.
811,SIR JAMES BRAID TAYLOR,"KT., M.A., Barrister-at-Law, C.I.E., I.C.S., Deputy Governor, Reserve Bank of India, Bombay. Born 21st April, 1891. Educated at Edinburgh Academy and University. Called to the Bar from Lincoln's Inn. Entered I.C.S., 1914; Under-Secretary to the Government of C.P., 1920; Commerce Department, Government of India, 1920-22; Deputy Collector of Currency, Calcutta, 1924 Bombay, 1925 Collector of Currency, Calcutta, 1929; Additional Secretary, Finance Department, Government of India, up to 1935.",BOMBAY & SIND.
812,SARDAR RAO SAHIB VINAYAK MAHADEO TENDULKAR,"President, Kolaba District Local Board, and Roha Taluk Board, Kokban, District Kolaba. Born 1875. During Great War assis- ted recruitment, contributed to War Loans. Made Rao Sahib, 1917. Helped in suppressing Civil Disobedience awarded certificates from Governor, Bombay. Made Sardar, 1934. Donated to several charitable, educational institutions. Is Chairman, Chanera Group Society.",BOMBAY & SIND.
813,B S. TURKHUD,"Justice of the Peace (1916), Honorary Presidency Magistrate (1917), retired Accountant in charge of the Bombay Port Trust Loans (1932), belongs Sardar Rao Sahib Vinayak Mahadeo Tendulkar, President, to a well-known Hindu family-that of Dr. Atmaram Kolaba District Local Board, Pandurang Turkhud, once Sheriff of Bombay. He Kokban, District Kolaba. has been Honorary Presidency Magistrate for the last two decades and has received thanks of Government for services during several riots in Bombay. He is connected with several institutions for moral and social uplift of the people. He was a prominent Mason for many years. Mr. Turkhud has travelled extensively in Europe and India. He was presented to His late Majesty King George V at Buckingham Palace. For encouragement of Marathi Literature he recently donated Rs. 11,000 to the Bombay University. B.S. Turkhud, J.P., Bombay.",BOMBAY & SIND.
814,MISS NALINI TURKHUD,"novelist and well-known film star, hailing from a reputed Hindu family of Bombay. Her biography, beautifully written by Mr. G. Venkatachellam a well-known Hindu author, is reproduced below It has been the women of India that have conserved till now whatever was beautiful in the life and art of their people and it is they again that are giving the lead in the artistic revival of to-day. The youngest and the most enthusiastic of this group of pioneers is Miss Nalini Turkhud. the only daughter of Mr. Surendra Turkhud of the well-known Turkhud family of Bombay, her grandfather being that great social reformer and the first Dakshini Hindu Sheriff of Bombay, Dr, Atmaram Pandurang Turkhud. Miss Turkhud was born at Poona on the 23rd day of July in the year 1915. She was brought up at Bombay and finished her education at Panchgani. In January, 1929, Captain Mallins of the British Screen Productions, London, saw great possibilities in her and had induced her to appear as the leading lady of his silent film Koh-i-Noor"" but that was the transition period when the talkies were making headway and the silent dying out, hence the idea had to be dropped out. That year's August found her in that International film, Vasantasena,"" which was directed by Mr. Bhavnani and wherein she made a name. Then came Sacred Ganges"" produced by the Oriental Talkies of Lahore. 1933 brought Amrit Manthan,"" 1934 Chandrasena "" and the following year ""Rajput Ramani,"" wherein she proved her mettle as a great tragedienne. She joined the films for the sheer joy of giving expression to her talent and as an outlet for her artistic instincts and to-day she is one of the most gifted of the film stars in India. Young, fair and fresh as a lotus in spring, Miss Turkhud has a fascinating personality. One's first impression is innocence, youthful grace, a shy gentleness that needs encouragement and a perfectly natural and unconscious disdain which is charmingly impressive. Slender almost to a fault, tall for her age, fair-complexioned, a delicately poised head and a bearing lofty and commanding, Miss Turkhud represents a striking type of beauty. Her soft nature, gentle manners, retiring disposition, sweet serenity and her deep religious temperament constitute her charm. She has written a book The Jagirdar of Palna "" and also composes short little lyrics in English and Marathi. Her sketches and paintings, though untrained and crude, reveal her remarkable power of observation and visualization. But above all it is her courage-for she has been the very first Hindu girl of education and culture who has braved public opinion and has ventured forth to act for the screen in spite of the strong opposition and protest from her friends and relatives-that is the strong point in the character of this tender, dreamy child of the Deccan.",BOMBAY & SIND.
815,KHAN BAHADUR DR. ARDESHIR KAVASJI TURNER,"L.M.S., F.C.P.S., F.I.C.S., J.P., late Honorary Lecturer, Medical College, Parel, Bombay. Born 1866. Assistant Chemical Analyser to Bombay Government from 1896-1921. Officiated as Chemical Analyser during the last World War. Was Honorary Presi- dency Magistrate. Is a member of the Board of Medical Studies and Medical Faculty, Bombay University. Appointed J.P., 1914. Made Khan Bahadur, 1918.",BOMBAY & SIND.
816,C R TURNER,"J.P., Mahomed Manzil, Nusserwanji Petit Street, Grant Road, K.B. Dr. Ardeshir Kavasji Bombay. Born 1889. Started career as Turner, L.M.S., F.C.P.S., a clerk on Rs. 30 p.m. in the Currency F.I.C.S., J.P., Bombay. Office in 1908. During the Great War his services were lent as Head Clerk to the Financial Assistant to the Civil Commis- sioner at Baghdad. In 1919 he was reverted to Bombay office. Was promoted General Superintendent in 1924 and in 1925 and 1926 was appointed to officiate as Assistant Currrency Officer and was made perma- nent in 1928. He was appointed a Justice of the Peace for the Town and Island of Bombay in 1933. C. R. Turner, J.P., Bombay.",BOMBAY & SIND.
817,RAO SAHIB HARIJIWAN RAMJI THAKUR,"Inspector of Police, C.I.D., Poona. Born 23rd December, 1892. As a Police officer rendered good services to the Crown in Bardoli Satyagrah and Civil Disobedience movements. Title of Rao Sahib conferred, 1931 awarded Silver Jubilee Medal, 1935. Has two sons and two daughters.",BOMBAY & SIND.
